CODLOCAL | DESCRLOCAL         | LOCAL_PATH                                       | LOCAL_PATH_CODES     | LOCAL_DEPTH | CODPROD | DESCRPROD                                | UNIDADE | MARCA      | NCM      | TOTAL_ESTOQUE     
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2970    | ANEL DE RETENCAO DO CILINDRO DE GIRO     | MM      | MADAL      | 84099116 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 11179   | ANEL DESGASTE QUINTA RODA QR00214J01     | MM      | GENERICO   | 87085099 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 10182   | ANEL DISTANCIADOR BOMBA ALIMENTADORA     | MM      | BOSCH      | 40169300 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 7872    | ANEL DO PISTAO SHANGHAI 6CL-280-2        | MM      | GENERICO   | 84821010 | 12                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 4747    | ANEL ENCOSTO BACKUP NBR                  | MM      | GENERICO   | 73181600 | 42                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12134   | ANEL ESCORA HASTE CILINDRO INCLINACAO    | MM      | HYSTER     | 39269090 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 5880    | ANEL ESPECIAL ATF DE PTFE TEFLON         | MM      | GENERICO   | 73181600 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13605   | ANEL GUIA 55X60X9.7 KT200ANEL PLAST SANY | MM      | GENERICO   | 40169300 | 6                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13608   | ANEL GUIA 70X75X9.7 KT200ANEL PLAST SANY | MM      | GENERICO   | 40169300 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 4807    | ANEL GUIA NYLON                          | MM      | None       | 73181600 | 27                
