CODLOCAL | CODPROD | DESCRLOCAL         | DESCRPROD                                | LOCAL_DEPTH | LOCAL_PATH                                       | LOCAL_PATH_CODES     | MARCA      | NCM      | TOTAL_ESTOQUE      | UNIDADE
101001   | 6016    | ALMOX PECAS        | DISCO DE DESBASTE ACO 4.1/2 115BDA600    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 68042211 | 20                 | MM     
101001   | 12587   | ALMOX PECAS        | DISCO DE FREIO DIANTEIRO - DAILY 2996122 | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87083090 | 2                  | MM     
101001   | 2644    | ALMOX PECAS        | DISCO DE POLICORTE                       | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | ICDER      | 68042211 | 4                  | MM     
101001   | 8574    | ALMOX PECAS        | DISCO EMBREAGEM 395MM 10ESTRIAS          | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | MERCEDES B | 87089300 | 4                  | MM     
101001   | 7896    | ALMOX PECAS        | DISCO EMBREAGEM 420MM 10ESTRIAS          | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | MERCEDES B | 87089300 | 3                  | MM     
101001   | 8261    | ALMOX PECAS        | DISCO EMBREAGEM 430MM 10 ESTRIAS FORD    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87089300 | 2                  | MM     
101001   | 2656    | ALMOX PECAS        | DISCO FLAP 4"                            | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | CARBORUNDU | 68042211 | 85                 | MM     
101001   | 2653    | ALMOX PECAS        | DISCO FLAP 7"                            | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | CARBORUNDU | 68042211 | 12                 | MM     
101001   | 6022    | ALMOX PECAS        | DISCO FLAP EVOLUTION NORTON 4.1/2        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | NORTON     | 68042211 | 45                 | MM     
101001   | 7429    | ALMOX PECAS        | DISCO FREIO TRASEIRO PAR RENAULT MASTER  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87083090 | 2                  | MM     
101001   | 9741    | ALMOX PECAS        | DISJUNTOR AUTOMOTIVO BATERIA             | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | None     | 13                 | MM     
101001   | 9337    | ALMOX PECAS        | DISJUNTOR AUTOMOTIVO BATERIA 150A        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | None     | 3                  | MM     
101001   | 7409    | ALMOX PECAS        | DISPLAY CLARK 8152754                    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | CLARK      | 85318000 | 1                  | MM     
